Timestamp,Class,Confidence,BoundingBox_Area,Snapshot_File
2026-02-20 19:41:55,Pothole,0.67,17616,Pothole_20260220_194155_410.jpg
2026-02-20 19:41:55,Pothole,0.37,12528,Pothole_20260220_194155_415.jpg
2026-02-20 19:41:55,Pothole,0.69,18179,Pothole_20260220_194155_578.jpg
2026-02-20 19:41:55,Pothole,0.68,14758,Pothole_20260220_194155_585.jpg
2026-02-20 19:41:55,Pothole,0.56,19737,Pothole_20260220_194155_749.jpg
2026-02-20 19:41:55,Pothole,0.44,17201,Pothole_20260220_194155_753.jpg
2026-02-20 19:41:55,Pothole,0.36,29210,Pothole_20260220_194155_755.jpg
2026-02-20 19:41:55,Pothole,0.57,19737,Pothole_20260220_194155_921.jpg
2026-02-20 19:41:55,Pothole,0.46,17056,Pothole_20260220_194155_925.jpg
2026-02-20 19:41:55,Pothole,0.37,26908,Pothole_20260220_194155_927.jpg
2026-02-20 19:41:56,Pothole,0.60,20644,Pothole_20260220_194156_099.jpg
2026-02-20 19:41:56,Pothole,0.58,22156,Pothole_20260220_194156_102.jpg
2026-02-20 19:41:56,Pothole,0.67,18748,Pothole_20260220_194156_270.jpg
2026-02-20 19:41:56,Pothole,0.64,21006,Pothole_20260220_194156_273.jpg
2026-02-20 19:41:56,Pothole,0.72,20570,Pothole_20260220_194156_438.jpg
2026-02-20 19:41:56,Pothole,0.71,24420,Pothole_20260220_194156_441.jpg
2026-02-20 19:41:56,Pothole,0.73,25920,Pothole_20260220_194156_608.jpg
2026-02-20 19:41:56,Pothole,0.63,27528,Pothole_20260220_194156_612.jpg
2026-02-20 19:41:56,Pothole,0.73,25263,Pothole_20260220_194156_778.jpg
2026-02-20 19:41:56,Pothole,0.61,25806,Pothole_20260220_194156_783.jpg
2026-02-20 19:41:56,Pothole,0.73,24800,Pothole_20260220_194156_950.jpg
2026-02-20 19:41:56,Pothole,0.61,26574,Pothole_20260220_194156_953.jpg
2026-02-20 19:41:57,Pothole,0.73,24924,Pothole_20260220_194157_126.jpg
2026-02-20 19:41:57,Pothole,0.54,24288,Pothole_20260220_194157_130.jpg
2026-02-20 19:41:57,Pothole,0.76,24570,Pothole_20260220_194157_294.jpg
2026-02-20 19:41:57,Pothole,0.59,15326,Pothole_20260220_194157_298.jpg
2026-02-20 19:41:57,Pothole,0.79,24640,Pothole_20260220_194157_466.jpg
2026-02-20 19:41:57,Pothole,0.52,17424,Pothole_20260220_194157_470.jpg
2026-02-20 19:41:57,Pothole,0.80,26202,Pothole_20260220_194157_636.jpg
2026-02-20 19:41:57,Pothole,0.48,12915,Pothole_20260220_194157_641.jpg
2026-02-20 19:41:57,Pothole,0.78,26532,Pothole_20260220_194157_805.jpg
2026-02-20 19:41:57,Pothole,0.78,26202,Pothole_20260220_194157_973.jpg
2026-02-20 19:41:58,Pothole,0.77,29273,Pothole_20260220_194158_142.jpg
2026-02-20 19:41:58,Pothole,0.77,29674,Pothole_20260220_194158_309.jpg
2026-02-20 19:41:58,Pothole,0.76,31428,Pothole_20260220_194158_477.jpg
2026-02-20 19:41:58,Pothole,0.81,32844,Pothole_20260220_194158_645.jpg
2026-02-20 19:41:58,Pothole,0.82,35100,Pothole_20260220_194158_814.jpg
2026-02-20 19:41:58,Pothole,0.81,35100,Pothole_20260220_194158_980.jpg
2026-02-20 19:41:59,Pothole,0.82,35280,Pothole_20260220_194159_149.jpg
2026-02-20 19:41:59,Pothole,0.77,37248,Pothole_20260220_194159_314.jpg
2026-02-20 19:41:59,Pothole,0.74,38907,Pothole_20260220_194159_481.jpg
2026-02-20 19:41:59,Pothole,0.74,35288,Pothole_20260220_194159_646.jpg
2026-02-20 19:41:59,Pothole,0.77,42000,Pothole_20260220_194159_814.jpg
2026-02-20 19:41:59,Pothole,0.77,42612,Pothole_20260220_194159_981.jpg
2026-02-20 19:42:00,Pothole,0.74,44622,Pothole_20260220_194200_154.jpg
2026-02-20 19:42:00,Pothole,0.79,46291,Pothole_20260220_194200_321.jpg
2026-02-20 19:42:00,Pothole,0.77,50716,Pothole_20260220_194200_490.jpg
2026-02-20 19:42:00,Pothole,0.67,8280,Pothole_20260220_194200_494.jpg
2026-02-20 19:42:00,Pothole,0.76,53868,Pothole_20260220_194200_662.jpg
2026-02-20 19:42:00,Pothole,0.68,8730,Pothole_20260220_194200_667.jpg
2026-02-20 19:42:00,Pothole,0.73,50096,Pothole_20260220_194200_834.jpg
2026-02-20 19:42:00,Pothole,0.71,9264,Pothole_20260220_194200_838.jpg
2026-02-20 19:42:01,Pothole,0.73,48480,Pothole_20260220_194201_005.jpg
